Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,Damages 2005,clusters
21318,2.0,8950.495147237183,1.0,0.0,0.0,0.0,2.0,2.0,211.0,91318,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,2
13797,2.0,8280.601472293532,1.0,2.0,1.0,1.0,1.0,0.0,604.0,83797,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
18382,1.0,8234.709919644965,0.0,1.0,0.0,4.0,0.0,2.0,400.0,88382,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,4
5315,0.0,10030.641380998624,0.0,2.0,0.0,3.0,1.0,2.0,257.0,75315,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
415,2.0,10281.571070211088,0.0,0.0,1.0,1.0,0.0,2.0,495.0,70415,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
23662,0.0,8779.19989737264,1.0,2.0,0.0,4.0,1.0,1.0,704.0,93662,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,4
6732,2.0,9863.6187824494,0.0,2.0,0.0,2.0,1.0,1.0,282.0,76732,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
25346,2.0,8905.374927191067,0.0,0.0,1.0,5.0,2.0,0.0,842.0,95346,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,5
9020,1.0,11188.931195100631,1.0,0.0,0.0,2.0,2.0,1.0,126.0,79020,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
30975,2.0,10041.991323745153,0.0,2.0,1.0,2.0,0.0,0.0,568.0,100975,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
23447,2.0,12096.50904659065,1.0,2.0,1.0,1.0,0.0,1.0,172.0,93447,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
16427,1.0,10829.723806167243,1.0,1.0,1.0,3.0,0.0,2.0,883.0,86427,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
18415,0.0,7948.528201327319,0.0,0.0,1.0,1.0,0.0,1.0,805.0,88415,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
3913,0.0,7717.719280365447,1.0,1.0,0.0,5.0,2.0,0.0,118.0,73913,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
8406,0.0,5676.908383587057,1.0,2.0,0.0,2.0,0.0,0.0,961.0,78406,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
9105,0.0,10600.120566956502,0.0,2.0,1.0,5.0,1.0,2.0,567.0,79105,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
