,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Distance to treshold 2155,Population under treshold 2155,Distance to treshold 2205,Population under treshold 2205,Distance to treshold 2305,Population under treshold 2305,Total Aggregated Utility
1261,1,623,1,10111.594664745007,2,1,0,1,0,0.43898576882978335,392.11377720333263,17.276701268035072,622.5058907699087,62.64000923797088,2029.5266509623143,69.65331552638672,2865.387442342283,80.19793401001908,3353.5590827052038,11963.071902080632
1262,2,717,1,9049.096572740615,2,1,0,1,1,0.0547839739431617,392.11377720333263,0.7488347308030319,488.1716403629208,62.66366666133815,1876.0716868837226,69.71343026203812,2350.113896524737,70.57446946055668,1296.1421384987152,9515.2622812656
1263,1,71,2,4018.265094776183,2,1,1,1,1,0.41782478749643803,392.11377720333263,5.677210885405168,622.5058907699087,62.71447822156366,1876.0716868837226,67.43501702829593,2350.113896524737,80.56707669313373,1784.313778861636,10661.30053231677
1264,1,716,0,11473.528412664145,0,1,0,1,1,0.0,0.0,1.0879183152832834,372.6198936204345,64.78375432797081,1621.9515758533562,72.62684849674521,2161.80524750637,84.6467264649455,1498.257317547625,6909.254849721708
1265,2,934,1,11608.14399705937,5,1,0,1,1,0.0,0.0,54.0279452944848,1375.6381545460576,62.65940221147971,3649.8602463880147,69.36192138840674,3760.5531845137834,80.863329864256,3422.711544510714,10053.997335360007
1266,1,957,1,7458.198633829529,2,1,0,1,1,0.44066652483263136,392.11377720333263,11.828933496289512,622.5058907699087,62.66697502105825,1876.0716868837226,69.73065585968513,2350.113896524737,70.30631828367602,2350.113896524737,10550.19201976621
1267,1,309,2,5017.192438470689,2,1,0,1,1,0.5644878236933712,392.11377720333263,53.05176791077297,1784.313778861636,62.308892695908874,3487.8933331121916,69.08976833251089,3862.734694352202,79.54818427244734,3862.734694352202,10442.715859030603
1268,2,268,1,9330.54379489536,2,1,1,1,1,0.07088703028112109,392.11377720333263,52.744488180930034,1296.1421384987152,61.84317354035853,3862.734694352202,68.42367102116074,4460.9965686192645,79.64491697921241,3862.734694352202,7512.512143994453
1269,1,312,0,5788.924885543437,0,1,0,1,0,0.0,0.0,1.5955945921094963,372.6198936204345,51.7894594355092,2142.531220497853,72.4803673743679,3043.5852436995224,84.1627871196608,3518.0307044545225,10613.464775305141
1270,1,151,1,4588.372227835479,0,1,1,1,1,0.07267958332726443,322.2881872211466,53.630345916719016,982.9951175780106,64.5011595362903,2734.670098547791,72.12172399829095,3356.338888052043,84.12031697204641,3490.6721883148266,11522.388100065822
1271,1,978,1,9752.963819669318,1,1,0,1,0,0.02757142323309214,336.4130577544048,53.36907978514595,923.0288117910679,62.758173744147406,2569.9659289258475,69.62125037145248,2838.929828168075,79.95802223413436,3028.2892319094058,11595.579340110527
1272,1,117,1,6277.819869471787,0,1,1,1,1,0.026897984282273746,322.2881872211466,3.1471196911427435,372.6198936204345,64.15613139328345,2142.531220497853,57.152415280321485,3330.3342863696384,84.4543667871918,2404.4250259842256,9370.195789066904
1273,1,935,2,7314.345921713217,1,1,1,1,1,0.048481824237829985,336.4130577544048,53.35023489571953,1267.0526340908361,62.713659895021465,2569.9659289258475,69.58047908121564,2838.929828168075,80.16085030804065,2838.929828168075,9738.958825985635
1274,1,613,1,7444.143310865162,0,1,0,1,1,0.06564333004300338,322.2881872211466,53.641086163398896,806.8959842396225,64.5342288298908,2450.364884175149,72.18336932102812,3356.338888052043,84.18076593866458,3490.6721883148266,11635.00928927354
1275,1,486,1,12773.125131207817,2,1,1,1,0,0.40867607698393416,392.11377720333263,5.43951536456772,622.5058907699087,62.71034168531138,1876.0716868837226,67.40104280419072,2350.113896524737,80.37930963367091,2350.113896524737,11001.96146676043
1276,1,863,2,8334.32275192653,0,1,1,1,0,0.0,0.0,0.9447286566386484,372.6198936204345,64.78105638573706,1621.9515758533562,72.57904775904657,2339.2681182821393,54.7825713769701,3469.700586853586,7428.603867685522
1277,1,251,1,8099.711821957001,0,1,0,1,1,0.0,0.0,1.1293553218241612,372.6198936204345,64.77984274506748,1621.9515758533562,72.62033067908375,2161.80524750637,84.64085661296681,1498.257317547625,6906.219033363518
1278,1,319,1,5805.495172079234,0,1,1,1,0,0.0,0.0,0.0,0.0,2.418699847449661,334.5405588838877,72.88818676872557,858.9835657926496,84.70401837080837,1183.6025304532388,7026.534324322256
1279,1,564,0,11522.000296300672,0,1,0,1,0,0.0,0.0,1.3659092443322804,372.6198936204345,64.744291671977,1862.6636445874174,72.51267436955179,2914.1520211653615,84.20840280411682,3490.6721883148266,10145.2586562666
1280,2,505,2,5086.600723446409,0,1,1,1,1,0.0,0.0,0.38594280341436343,372.6198936204345,64.22629993220745,3527.484401369682,68.93600869357854,4533.76230296813,31.192846478427516,3469.700586853586,11492.229198620857
1281,1,987,0,6861.109814019774,0,1,0,1,0,0.03655202765717547,322.2881872211466,6.034441625673238,806.8959842396225,64.5931023296135,2283.221015307108,72.23098001646176,3356.338888052043,83.79900107515049,4325.190940062255,13842.372127414683
1282,1,133,2,8843.13783208907,5,1,0,1,0,0.004669931014917528,330.1048035303076,53.902083941230416,1731.41765640107,62.78244409479106,3649.8602463880147,69.10456787653895,3782.7619401295824,78.87029178008991,3911.6735014969886,11666.555069866346
